episode,reward_first0,reward_second0,rolling_avg_30,epsilon
649,-2.0,2.0,-0.4,0.2
650,-2.0,2.0,-0.53,0.2
651,1.0,-1.0,-0.5,0.2
652,-5.0,5.0,-0.67,0.2
653,3.0,-3.0,-0.8,0.2
654,0.0,0.0,-0.87,0.2
655,-14.0,14.0,-0.87,0.2
656,-2.0,2.0,-0.77,0.2
657,-1.0,1.0,-0.57,0.2
658,-5.0,5.0,-0.67,0.2
659,6.0,-6.0,-0.43,0.2
660,-9.0,9.0,-0.5,0.2
661,-3.0,3.0,-0.5,0.2
662,3.0,-3.0,-0.6,0.2
663,-4.0,4.0,-1.03,0.2
664,-2.0,2.0,-0.77,0.2
665,-6.0,6.0,-0.93,0.2
666,-4.0,4.0,-0.93,0.2
667,2.0,-2.0,-0.63,0.2
668,-7.0,7.0,-0.87,0.2
669,-11.0,11.0,-1.27,0.2
670,-7.0,7.0,-1.73,0.2
671,0.0,0.0,-1.03,0.2
672,-7.0,7.0,-1.33,0.2
673,-6.0,6.0,-2.3,0.2
674,-2.0,2.0,-2.2,0.2
675,2.0,-2.0,-2.07,0.2
676,0.0,0.0,-2.3,0.2
677,2.0,-2.0,-2.33,0.2
678,-3.0,3.0,-2.77,0.2
679,-2.0,2.0,-2.77,0.2
680,-1.0,1.0,-2.73,0.2
681,1.0,-1.0,-2.73,0.2
682,2.0,-2.0,-2.5,0.2
683,2.0,-2.0,-2.53,0.2
684,1.0,-1.0,-2.5,0.2
685,0.0,0.0,-2.03,0.2
686,7.0,-7.0,-1.73,0.2
687,10.0,-10.0,-1.37,0.2
688,0.0,0.0,-1.2,0.2
689,1.0,-1.0,-1.37,0.2
690,1.0,-1.0,-1.03,0.2
691,3.0,-3.0,-0.83,0.2
692,-11.0,11.0,-1.3,0.2
693,1.0,-1.0,-1.13,0.2
694,6.0,-6.0,-0.87,0.2
695,6.0,-6.0,-0.47,0.2
696,-14.0,14.0,-0.8,0.2
697,3.0,-3.0,-0.77,0.2
